ID	ww_ave_yield
459312022	2702.796452
459312027	2795.792581
459711598	6755.028065
459711602	6248.15871
459711606	6089.716129
459711610	6091.165484
459711614	6150.737742
459711618	6109.259677
459711623	5602.025806
459711627	4946.193871
459711631	4716.040968
459711635	4485.767097
459711639	5690.88129
459711648	3990.835484
459711652	4151.453871
459711656	4056.474839
459711723	4283.642581
459711727	4185.104516
459711731	2580.29
459711735	4277.469032
459711739	3002.69
459711818	4463.703548
459711823	5027.694839
459711827	6041.223226
459711831	4042.285161
459711835	3214.471935
459711839	2962.311935
459711843	2874.030323
459711848	2635.000323
459711852	2277.842258
459711856	2122.596452
459711860	2017.599355
459711864	2157.610968
459711868	2668.708065
459711873	3291.082903
459711877	3825.636129
459711881	4370.512903
459711885	3410.460323
459711889	2688.095806
459711893	3163.00129
459711898	2250.276774
459711902	1233.240323
459711906	1530.185806
459711910	1313.503871
459711972	1870.105161
459711977	861.9722581
459711981	873.076129
459711985	899.8609677
459711989	993.1577419
459711993	1168.142581
459711997	1213.690323
459712002	1780.849677
459712006	2173.607742
459712010	2542.522581
459712018	2650.531613
459712022	2735.709355
459712027	2811.316774
459712031	2906.309032
460211598	6792.219355
460211602	4647.164516
460211606	6349.030968
460211610	6079.437419
460211614	5946.027419
460211618	5922.612258
460211623	5681.948387
460211627	5098.306452
460211631	5016.263871
460211635	5394.282258
460211639	6056.287419
460211643	6376.738387
460211648	6374.158387
460211652	6198.394839
460211818	7920.06129
460211823	4653.057419
460211827	5004.498387
460211831	4075.412581
460211835	3684.366129
460211839	3271.022258
460211843	2611.230323
460211848	2385.83
460211852	2190.843226
460211856	1982.940968
460211860	1696.552903
460211868	1413.713871
460211873	1474.442258
460211885	2937.845484
460211889	2874.519032
460211893	2182.730645
460211902	1576.614839
460211906	1568.388065
460211910	1503.689032
460211914	1370.264516
460211918	1328.315806
460211968	846.3577419
460211972	835.7651613
460211977	860.6893548
460211981	897.8780645
460211985	936.1867742
460211989	1056.30871
460211993	1153.776452
460211997	1309.643226
460212002	1803.777742
460212014	2805.674194
460212018	2680.261935
460212022	2749.089677
460212027	2852.319032
460611598	5207.175484
460611602	6907.958065
460611606	7009.905484
460611610	6313.943548
460611614	6005.232903
460611618	5873.093548
460611623	5744.818065
460611627	5547.419355
460611631	5461.832581
460611635	5824.095484
460611639	6236.979032
460611643	6825.825806
460611652	6538.701935
460611693	3082.569677
460611818	5029.294194
460611823	4499.645161
460611827	4884.848387
460611831	4175.211935
460611835	3781.944516
460611839	3410.101613
460611843	2771.355484
460611848	2451.533226
460611852	2314.57
460611856	2192.45871
460611860	1955.70129
460611864	1692.977097
460611868	1593.744516
460611873	1675.885161
460611881	2238.806129
460611885	1118.407742
460611898	1070.568065
460611902	1297.844516
460611906	1323.027742
460611910	1427.347742
460611914	1440.630323
460611918	1402.53
460611923	1347.008065
460611931	1332.53
460611935	1299.499355
460611943	1145.764516
460611948	1130.746129
460611952	1081.813871
460611956	1033.234839
460611960	950.3641935
460611964	879.1270968
460611968	864.6545161
460611972	861.2654839
460611977	918.176129
460611981	1011.727097
460611985	1080.403871
460611989	1068.283871
460611993	1270.785806
460611997	1605.076774
460612002	1914.831613
460612006	2332.262258
460612010	2506.99
460612014	2737.379677
460612018	2633.606129
460612022	2705.807742
461011598	4245.089677
461011602	4508.141613
461011606	4390.710323
461011610	7055.03
461011614	6680.319032
461011618	5828.684516
461011623	5689.544194
461011627	5726.605161
461011631	5856.100323
461011635	6081.064194
461011639	6061.552903
461011643	6582.971613
461011648	6559.981613
461011652	6696.986452
461011656	6474.107742
461011693	3137.29871
461011698	1940.973548
461011702	2428.648065
461011706	3090.402258
461011710	3490.024839
461011810	7904.611935
461011814	7654.945484
461011818	7095.016452
461011823	5883.268387
461011827	5081.104839
461011831	4428.294194
461011835	3826.239032
461011839	3336.076129
461011843	2968.396452
461011848	2720.178387
461011852	3179.383226
461011856	3281.15871
461011860	2933.229355
